ROW,COL,CELL_ID,CountyName,CountyNum,GCD_Name,GCD_Num,GCD_Name_1,GCD_Num_1,GCD_Name_2,GCD_Num_2,BasinName,BasinNum,IBND1,CentroidX,CentroidY,uGCD,GMA,PGMA,RA_SLD,REG_NAME,LETTER,REG_NUM,AQ_Active1
44,72,1044072,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5603504.70047,19301763.6192," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,73,1044073,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5604211.80726,19302470.726," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,74,1044074,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5604918.91404,19303177.8328," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,75,1044075,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5605626.02082,19303884.9396," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,76,1044076,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5606333.1276,19304592.0464," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,77,1044077,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5607040.23438,19305299.1531," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,78,1044078,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5607747.34116,19306006.2599," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,79,1044079,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5608454.44794,19306713.3667," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,80,1044080,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5609161.55472,19307420.4735," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,81,1044081,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5609868.66151,19308127.5803," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,82,1044082,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5610575.76829,19308834.687," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,83,1044083,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5611282.87507,19309541.7938," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,84,1044084,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5611989.98185,19310248.9006," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,85,1044085,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5612697.08863,19310956.0074," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,86,1044086,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5613404.19541,19311663.1142," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,87,1044087,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5614111.30219,19312370.221," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,88,1044088,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5614818.40897,19313077.3277," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,89,1044089,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5615525.51575,19313784.4345," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,90,1044090,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5616232.62254,19314491.5413," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
44,91,1044091,"Travis",227,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5616939.72932,19315198.6481," ",10," ","LOWER COLORADO RIVER AUTHORITY","LOWER COLORADO","K",11,1
